Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof,left_foot_height,right_foot_height
31,0.4054500758647918,-8.413811683654785,78.97979736328125,1.7179014698485249,9.438169481208265,94.29468607766786,-26.678802,11.866452,18.259008,48.350426,-17.347666,0.71146613,-27.477608,-15.784672,-20.52676,48.903187,-15.995621,-0.0006950892,0.3778593,1.6945974,29.793802,-110.85457,21.272472,-30.388266,37.21329,-12.282245,2.0507402,17.550167,-110.12486,-29.095951,29.776318,43.74199,21.6999,-3.893168,-26.172525,19.572967,10.567676
32,0.4333562552928924,-9.488799095153809,76.47267150878906,1.6502392593007535,11.172560535098365,94.15027449762852,-34.83934,13.463721,16.815302,59.323105,-21.014416,1.996668,-35.35547,-17.399986,-19.103527,59.483513,-19.787058,-1.1174222,0.7014269,1.757461,29.793802,-110.93888,21.140066,-30.56962,39.63395,-12.916456,2.2772896,19.032055,-109.37425,-29.423159,30.47817,45.11158,21.085928,-3.7387238,-27.472128,20.313059,10.966211
33,0.4662122726440429,-10.730542182922363,73.64080810546875,1.2500914452637648,12.657813596349555,93.70673233817548,-42.576168,15.182389,15.34841,69.33237,-24.519402,3.1199813,-42.789845,-18.942455,-18.413908,69.3703,-22.958817,-2.3114338,0.95691895,1.96845,29.793802,-108.88201,20.91628,-31.378307,42.13433,-14.681182,1.2082027,21.009195,-107.66418,-29.641745,31.296755,46.61525,19.741465,-3.4858441,-28.395857,21.00894,11.734613
34,0.5241277813911438,-12.105639457702637,70.31990051269531,0.921534565546441,13.895820519290409,93.03817232536085,-50.538315,16.781853,13.78785,79.41433,-27.966047,4.2236114,-50.230385,-20.255262,-17.371021,79.0316,-26.281115,-3.492801,1.3301647,2.285233,29.793802,-105.62287,20.844368,-32.321022,45.861336,-14.602863,0.8423972,22.849783,-104.39722,-29.888657,32.26863,48.63599,17.803936,-3.4968114,-29.610203,21.758574,12.709408
35,0.6109392046928406,-13.57160186767578,66.96102142333984,0.9989698894842868,14.765941580696886,93.10155388752938,-57.93584,17.947197,12.600225,88.24189,-30.409496,5.7018633,-57.11945,-21.796638,-16.134527,87.86909,-29.207869,-4.7696905,1.7650683,2.430303,29.793802,-101.85431,20.99105,-34.01746,51.758656,-15.067238,0.86749643,23.87827,-100.1783,-30.124043,32.356827,52.294533,16.332079,-2.9900467,-30.361452,22.414419,13.955292
36,0.7263562083244324,-15.082303047180176,63.42106628417969,1.1637438153757973,15.114847975189178,92.8279840324214,-64.97127,19.105278,11.435406,96.678764,-32.567547,6.7671165,-63.520252,-23.501759,-15.048786,96.32404,-31.981153,-6.348319,2.2227573,2.714761,29.793802,-96.73241,21.275517,-35.718575,58.45822,-15.668529,1.5932658,23.967596,-94.61816,-30.378798,32.828526,56.320602,13.958,-1.5081186,-30.102057,23.111315,15.359123
37,0.8528088331222534,-16.577293395996094,60.00801467895508,1.4747664893444958,15.012022856378724,92.6720727654655,-71.20487,20.149357,10.464189,103.98981,-33.754963,8.148388,-69.75821,-24.785036,-13.442849,104.099045,-33.63079,-8.400759,2.4156985,2.6606677,29.793802,-87.26216,21.210087,-38.144924,64.50336,-13.317103,0.64116514,22.089062,-85.23868,-30.050142,32.28813,59.531708,11.350355,-2.5113516,-29.399406,23.744531,17.241749
38,0.9823964834213256,-18.01203727722168,55.91830062866211,2.312726073119653,13.161566653063767,92.90102312997205,-76.53523,21.117807,9.629191,112.53277,-35.399643,9.983321,-75.80966,-25.337507,-10.179395,113.048164,-35.016247,-10.666626,2.5973485,2.3616657,29.793802,-74.39445,21.013103,-40.070194,71.876045,-10.830017,-0.79120314,20.366657,-73.48979,-29.225739,31.726023,63.48756,9.82997,-3.5282137,-28.020012,23.89086,19.254525
39,1.0781255960464478,-19.285484313964844,51.74726104736328,2.404149365033479,11.214856831067456,92.65921612435947,-82.09352,21.65056,7.526822,120.72616,-37.232075,11.772114,-81.303444,-25.771597,-8.215365,121.341675,-36.02748,-14.269319,3.0701494,2.3947794,29.793802,-59.588207,20.79996,-40.13318,77.57767,-11.272665,-0.80887854,19.196764,-59.788494,-28.035732,30.985462,68.59433,9.94945,-3.1436048,-28.256926,24.270925,21.134301
40,1.1299574375152588,-20.30864715576172,48.3431396484375,2.3385922096700136,9.77113509406259,91.88185799416004,-86.7844,21.592026,5.348287,126.91681,-39.06969,13.059925,-86.11828,-24.673315,-6.335904,127.261826,-36.703964,-15.000033,3.809487,2.9049296,29.793802,-46.651554,20.665916,-40.12733,82.769424,-13.070419,0.30766425,18.087685,-45.934772,-26.709639,32.25345,75.53083,14.60849,-0.8249608,-25.770811,24.668628,23.247938
41,1.1469628810882568,-21.062360763549805,45.6995964050293,2.166774337055399,7.58080592039319,91.14435352426952,-89.43635,21.05127,3.34876,131.72527,-39.968334,13.891632,-88.516975,-24.191257,-5.394687,131.72285,-37.44237,-15.000033,4.1093073,3.262636,29.793802,-31.499718,20.662134,-39.214264,86.61039,-12.598857,1.2821968,16.693855,-29.199686,-25.515276,35.341125,81.544075,18.942942,1.9432007,-22.412327,24.712588,24.113163
42,1.1691229343414309,-21.506542205810547,43.95033264160156,1.8913379626067095,6.036726424085593,90.47474918766652,-91.10591,20.082514,1.6188574,134.71185,-40.251274,13.721698,-89.70465,-24.087063,-5.3784294,134.48001,-39.11564,-15.000033,4.1955123,3.5520163,29.793802,-13.470514,20.593243,-38.42797,87.90396,-7.9818707,3.2214706,14.985996,-10.991921,-24.246338,38.597782,84.01414,16.377508,4.9582605,-17.513891,24.680771,24.253644
43,1.2586625814437866,-21.592803955078125,43.57096481323242,1.5718636408285047,7.857144210367026,90.95016899280483,-93.741,20.9344,1.5324512,134.80962,-40.590073,14.012127,-91.98821,-23.665934,-5.988316,134.4884,-41.02857,-15.000033,4.419653,4.0959024,29.793802,7.851324,20.112778,-40.358067,86.19868,-1.6729966,5.907135,12.104684,7.5089235,-22.820694,42.7217,83.37152,4.8821235,7.2658906,-10.321116,25.442219,25.439671
44,1.3587887287139893,-21.372730255126957,43.87067413330078,1.143930096884808,9.874528917781443,91.23106276525208,-95.53805,21.652626,1.4512873,133.99968,-40.614487,14.193017,-93.38837,-22.635601,-6.5344567,133.58145,-41.2096,-15.000033,5.115267,5.0824223,29.793802,25.802326,19.355688,-40.271782,82.58998,-5.0606875,7.9052906,11.090872,23.300743,-21.18664,43.338676,80.61058,-2.7319324,9.322713,-5.919584,26.223007,26.34593
45,1.5075515508651731,-20.876819610595703,44.74069595336914,1.8652655075278943,12.416693590119436,91.99243129419705,-96.632095,20.913044,2.4138389,131.99792,-39.665634,13.754311,-94.67671,-21.751081,-5.9071565,131.95076,-40.560013,-15.000033,4.934014,4.8448553,29.793802,43.339,18.418596,-38.175774,77.20679,-15.880772,8.770825,14.01627,36.806984,-19.30889,39.855732,78.04887,-0.86135954,10.596941,-6.1108775,26.594129,27.526343
46,1.6384292840957642,-20.12541961669922,46.3729248046875,1.9134383557752328,15.85441847897503,91.73180693369504,-97.48793,19.40759,2.1989644,128.90894,-37.93968,12.771494,-95.43359,-20.232115,-6.5104265,128.82024,-39.215664,-15.000033,4.937298,5.160212,29.793802,58.18909,17.398405,-39.107307,69.9241,-21.945974,10.694105,21.991234,48.990334,-17.33246,39.141075,73.94398,0.33271536,11.456238,-8.177554,27.221605,28.566673
47,1.7224493026733398,-19.172588348388672,47.91588973999024,2.3322008078735394,18.691949092063755,91.6902402835077,-97.37257,18.290478,2.6090012,126.16247,-37.266415,12.191916,-95.115395,-20.412506,-6.6902514,126.155815,-38.095715,-15.000033,5.033343,5.492101,29.793802,68.23617,16.594427,-40.91154,64.71901,-23.312057,11.464998,26.06164,57.38414,-15.615818,39.35848,70.72472,-2.706764,10.430821,-9.990045,27.416226,28.525448
48,1.7802093029022217,-18.050142288208008,49.79338836669922,2.917955762627475,21.988237097511067,91.60927629024523,-96.9619,16.826328,3.2039676,122.6338,-36.142445,11.6488085,-94.89486,-19.92493,-6.679025,122.69168,-36.881798,-15.000033,5.2002015,5.9458327,29.793802,73.34968,15.740935,-43.185287,61.754845,-23.938725,12.173156,28.67834,62.367615,-13.990033,40.05481,69.10269,-3.7296681,9.881773,-10.666945,27.543852,28.87252
49,1.7719060182571411,-16.816591262817383,51.69852828979492,2.8351016037697527,24.9728514003226,91.56023372101428,-96.23918,16.214108,3.5145864,119.276215,-35.152126,11.592842,-94.165474,-19.513178,-7.208494,119.22952,-35.58952,-15.000033,5.4620585,6.44531,29.793802,73.25244,14.625605,-46.77698,60.9223,-25.127121,13.087391,29.897028,62.927822,-12.365353,42.395226,69.21396,-5.310091,9.880652,-10.202919,27.825856,28.825226
50,1.7119746208190918,-15.547921180725098,53.80939865112305,2.4757006222795366,26.64011211581069,91.41530953639344,-94.15526,15.580954,3.5724971,115.81936,-33.961735,12.021633,-91.63503,-18.510637,-7.7562222,115.26956,-34.242393,-15.000033,5.839681,6.5968904,29.793802,70.744705,13.301295,-49.595062,60.414536,-24.331852,13.797411,30.449787,59.133766,-10.808393,43.868446,70.01942,-7.173345,8.541884,-12.103335,28.052545,27.831241
51,1.5959759950637815,-14.29100513458252,55.72005081176758,2.3320107213414216,27.954982911777595,90.1635043485429,-91.59461,14.706609,3.6070201,112.739655,-33.12741,12.832907,-89.043,-18.352951,-8.330668,111.72386,-33.570583,-15.000033,5.715426,6.7232137,29.793802,63.360596,11.604018,-49.099983,59.740013,-24.567085,12.709379,29.271545,49.871464,-9.089222,43.607944,72.58019,-3.6113641,6.9926586,-11.544297,27.981472,26.859692
